dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,ball,2,0,0.061737060546875,0.0,0.0001
cifar100,ball,2,1,0.11428578694661458,0.11904761904761904,0.0168
cifar100,ball,2,2,0.1704966819623544,0.1930116472545757,0.0601
cifar100,ball,2,3,0.23490013541355906,0.24105011933174225,0.0838
cifar100,ball,2,4,0.300142565414859,0.31344902386117135,0.0922
cifar100,ball,2,5,0.36652329388786764,0.3581932773109244,0.0952
cifar100,ball,2,6,0.43338448660714285,0.40584415584415584,0.0924
cifar100,ball,2,7,0.4998369414873321,0.4700854700854701,0.0819
cifar100,ball,2,8,0.5652283960459183,0.5292517006802722,0.0735
cifar100,ball,2,9,0.633578386633567,0.6495327102803738,0.0642
cifar100,ball,2,10,0.699438433655536,0.6221441124780316,0.0569
cifar100,ball,2,11,0.7651980690619621,0.7418244406196214,0.0581
cifar100,ball,2,12,0.8349236382378472,0.7378472222222222,0.0576
cifar100,ball,2,13,0.9007975260416666,0.8269230769230769,0.0624
cifar100,ball,2,14,0.9724554396767653,0.9322519083969466,0.1048
cifar100,ball,1,0,0.0,0.0,0.0
cifar100,ball,1,1,0.11364073265255906,0.08661417322834646,0.0127
cifar100,ball,1,2,0.17215187978927204,0.1781609195402299,0.0522
cifar100,ball,1,3,0.23513141603961915,0.21007371007371006,0.0814
cifar100,ball,1,4,0.3000243869055895,0.3270300333704116,0.0899
cifar100,ball,1,5,0.36717149924022197,0.37315010570824525,0.0946
cifar100,ball,1,6,0.4333628553025266,0.40425531914893614,0.094
cifar100,ball,1,7,0.500594768118351,0.43380614657210403,0.0846
cifar100,ball,1,8,0.5656478269795989,0.5089903181189488,0.0723
cifar100,ball,1,9,0.6339231731316388,0.511380880121396,0.0659
cifar100,ball,1,10,0.6983224969161185,0.5904605263157895,0.0608
cifar100,ball,1,11,0.7658476493727993,0.670774647887324,0.0568
cifar100,ball,1,12,0.8335861490059222,0.7225042301184433,0.0591
cifar100,ball,1,13,0.9003564743768602,0.8348214285714286,0.0672
cifar100,ball,1,14,0.9740351382488479,0.911520737327189,0.1085
cifar100,ball,0,0,0.05706787109375,0.0,0.0001
cifar100,ball,0,1,0.11282275096479669,0.13855421686746988,0.0166
cifar100,ball,0,2,0.17055414223799373,0.17773788150807898,0.0557
cifar100,ball,0,3,0.23485273697051495,0.2502768549280177,0.0903
cifar100,ball,0,4,0.3013746541750503,0.28672032193158953,0.0994
cifar100,ball,0,5,0.36688063747441146,0.3428863868986694,0.0977
cifar100,ball,0,6,0.4338050151766004,0.41501103752759383,0.0906
cifar100,ball,0,7,0.49913197785175495,0.4273399014778325,0.0812
cifar100,ball,0,8,0.5662414718922176,0.5371900826446281,0.0726
cifar100,ball,0,9,0.6320576728144779,0.5348101265822784,0.0632
cifar100,ball,0,10,0.6984255133122743,0.6642599277978339,0.0554
cifar100,ball,0,11,0.7668011209239131,0.6817391304347826,0.0575
cifar100,ball,0,12,0.8341210241198752,0.7611408199643493,0.0561
cifar100,ball,0,13,0.8997287502536526,0.8003246753246753,0.0616
cifar100,ball,0,14,0.9759866153492647,0.8901960784313725,0.102
cifar100,ball,3,0,0.060516357421875,0.0,0.0002
cifar100,ball,3,1,0.11402324601715687,0.09803921568627451,0.0153
cifar100,ball,3,2,0.17059261698118397,0.1813380281690141,0.0568
cifar100,ball,3,3,0.23377893495001625,0.20806241872561768,0.0769
cifar100,ball,3,4,0.2990025838216146,0.28020833333333334,0.096
cifar100,ball,3,5,0.36678085327148435,0.33958333333333335,0.096
cifar100,ball,3,6,0.4334860953582069,0.41278439869989164,0.0923
cifar100,ball,3,7,0.5002810190098068,0.47423887587822017,0.0854
cifar100,ball,3,8,0.5658938158004679,0.5347593582887701,0.0748
cifar100,ball,3,9,0.6325633181231564,0.5545722713864307,0.0678
cifar100,ball,3,10,0.6987575954861112,0.6313131313131313,0.0594
