dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,linear,2917091_1,0,0.0,0.0,0.0
cifar100,linear,2917091_1,1,0.11281197411673409,0.07936507936507936,0.0063
cifar100,linear,2917091_1,2,0.17031780546180375,0.12552301255230125,0.0239
cifar100,linear,2917091_1,3,0.2354253133138021,0.23943661971830985,0.0426
cifar100,linear,2917091_1,4,0.3001131703191837,0.2946768060836502,0.0526
cifar100,linear,2917091_1,5,0.3670188010275901,0.35495495495495494,0.0555
cifar100,linear,2917091_1,6,0.4344510257145263,0.4311774461028192,0.0603
cifar100,linear,2917091_1,7,0.4998786519970414,0.4511834319526627,0.0676
cifar100,linear,2917091_1,8,0.5662592621363374,0.5336700336700336,0.0594
cifar100,linear,2917091_1,9,0.6332872670245824,0.6006441223832528,0.0621
cifar100,linear,2917091_1,10,0.6985254874121409,0.6601941747572816,0.0618
cifar100,linear,2917091_1,11,0.7672169916012275,0.7118353344768439,0.0583
cifar100,linear,2917091_1,12,0.8349803892141023,0.7237960339943342,0.0706
cifar100,linear,2917091_1,13,0.9014870913259256,0.8714810281517748,0.0817
cifar100,linear,2917091_1,14,0.9813273070919526,0.9596367305751766,0.2973
cifar100,linear,2917080_4,0,0.0,0.0,0.0
cifar100,linear,2917080_4,1,0.11648398726733762,0.11940298507462686,0.0067
cifar100,linear,2917080_4,2,0.16944827812518853,0.138996138996139,0.0259
cifar100,linear,2917080_4,3,0.23467231007803857,0.2234513274336283,0.0452
cifar100,linear,2917080_4,4,0.3019248181440699,0.3110236220472441,0.0508
cifar100,linear,2917080_4,5,0.3683157327658532,0.34536082474226804,0.0582
cifar100,linear,2917080_4,6,0.4333319281595233,0.3960720130932897,0.0611
cifar100,linear,2917080_4,7,0.5016586119870106,0.4743975903614458,0.0664
cifar100,linear,2917080_4,8,0.5666280818890922,0.5917721518987342,0.0632
cifar100,linear,2917080_4,9,0.6341465240109564,0.5803108808290155,0.0579
cifar100,linear,2917080_4,10,0.7018728462054575,0.6348920863309353,0.0556
cifar100,linear,2917080_4,11,0.7666301637466886,0.7221350078492935,0.0637
cifar100,linear,2917080_4,12,0.8343587182514464,0.7741935483870968,0.0713
cifar100,linear,2917080_4,13,0.9022136599518532,0.877906976744186,0.086
cifar100,linear,2917080_4,14,0.9808827718098958,0.9697916666666667,0.288
cifar100,linear,2917092_2,0,0.0,0.0,0.0
cifar100,linear,2917092_2,1,0.1120783563644167,0.07936507936507936,0.0063
cifar100,linear,2917092_2,2,0.1722733287488,0.1483050847457627,0.0236
cifar100,linear,2917092_2,3,0.23422467195535007,0.22531645569620254,0.0395
cifar100,linear,2917092_2,4,0.3019168381758684,0.2697768762677485,0.0493
cifar100,linear,2917092_2,5,0.3681083358221455,0.32038834951456313,0.0618
cifar100,linear,2917092_2,6,0.4341238408609321,0.4003466204506066,0.0577
cifar100,linear,2917092_2,7,0.501355474135455,0.43823529411764706,0.068
cifar100,linear,2917092_2,8,0.56628974609375,0.5568,0.0625
cifar100,linear,2917092_2,9,0.6337178381687295,0.5777414075286416,0.0611
cifar100,linear,2917092_2,10,0.699806591796875,0.6288,0.0625
cifar100,linear,2917092_2,11,0.7677594718286547,0.7220338983050848,0.059
cifar100,linear,2917092_2,12,0.8345979721542651,0.7695716395864106,0.0677
cifar100,linear,2917092_2,13,0.9022410657135592,0.8529741863075196,0.0891
cifar100,linear,2917092_2,14,0.9815531224573912,0.9695101062007537,0.2919
cifar100,linear,2916795_0,0,0.0,0.0,0.0
cifar100,linear,2916795_0,1,0.11249024217778986,0.045454545454545456,0.0066
cifar100,linear,2916795_0,2,0.17034545625959124,0.16428571428571428,0.028
cifar100,linear,2916795_0,3,0.23599696950324903,0.24881516587677724,0.0422
cifar100,linear,2916795_0,4,0.3006098289189376,0.2933070866141732,0.0508
cifar100,linear,2916795_0,5,0.36802945913658874,0.37828371278458844,0.0571
cifar100,linear,2916795_0,6,0.4341798590485161,0.4171597633136095,0.0676
cifar100,linear,2916795_0,7,0.5006201607840401,0.4782608695652174,0.0644
cifar100,linear,2916795_0,8,0.5665403972840564,0.5372907153729072,0.0657
cifar100,linear,2916795_0,9,0.6342422810006649,0.5880077369439072,0.0517
cifar100,linear,2916795_0,10,0.699818257753014,0.6632825719120136,0.0591
cifar100,linear,2916795_0,11,0.7667752039768605,0.7081260364842454,0.0603
cifar100,linear,2916795_0,12,0.8350256235321607,0.8021472392638037,0.0652
cifar100,linear,2916795_0,13,0.9015910749241676,0.8668171557562077,0.0886
cifar100,linear,2916795_0,14,0.980946688428852,0.9648103860608132,0.2927
cifar100,linear,2917093_3,0,0.0,0.0,0.0
cifar100,linear,2917093_3,1,0.11391520032695696,0.0784313725490196,0.0051
cifar100,linear,2917093_3,2,0.1705205236162458,0.14285714285714285,0.028
cifar100,linear,2917093_3,3,0.2334721574505556,0.24271844660194175,0.0412
cifar100,linear,2917093_3,4,0.30164952042079207,0.29306930693069305,0.0505
cifar100,linear,2917093_3,5,0.3669802213969984,0.3473684210526316,0.057
cifar100,linear,2917093_3,6,0.43383903104271765,0.40059790732436473,0.0669
cifar100,linear,2917093_3,7,0.4996810479727205,0.47384155455904337,0.0669
cifar100,linear,2917093_3,8,0.5668069482818852,0.5186991869918699,0.0615
cifar100,linear,2917093_3,9,0.6331004423253677,0.5899159663865546,0.0595
cifar100,linear,2917093_3,10,0.7002990941028902,0.6207513416815742,0.0559
cifar100,linear,2917093_3,11,0.76627216796875,0.7248,0.0625
cifar100,linear,2917093_3,12,0.833635172266869,0.7627388535031847,0.0628
cifar100,linear,2917093_3,13,0.9019420644854972,0.8596685082872928,0.0905
cifar100,linear,2917093_3,14,0.9808207745007713,0.9636612958519026,0.2917
cifar100,joint,2934784_1,0,0.0,0.0,0.0
cifar100,joint,2934784_1,1,0.11472801864147186,0.0,0.0001
cifar100,joint,2934784_1,2,0.17099597237326883,0.2727272727272727,0.0011
cifar100,joint,2934784_1,3,0.23884169260660806,0.2222222222222222,0.0027
cifar100,joint,2934784_1,4,0.30411405033535427,0.3194444444444444,0.0072
cifar100,joint,2934784_1,5,0.36867689049762226,0.3217391304347826,0.0115
cifar100,joint,2934784_1,6,0.43288289583646333,0.4307692307692308,0.013
cifar100,joint,2934784_1,7,0.5022614307892628,0.45726495726495725,0.0234
cifar100,joint,2934784_1,8,0.5667800903320312,0.5441176470588235,0.0272
