dataset,method,run_id,task,accuracy_all,accuracy_seen,ace_all,ace_seen,brier_all,ece_all,ece_seen,sce_all,sce_seen
cifar100,linear,2917091_1,0,0.0954,0.954,0.017454860896860484,5.84941432199176e-06,1.4278703411280709,0.6212650814980268,0.01168031165003778,0.016408186706542968,0.00020681965351104754
cifar100,linear,2917091_1,1,0.17639999,0.88199997,0.0157443782725872,1.4907676813171562e-05,1.242145020513584,0.5070183235168457,0.02301918640732766,0.014117005859375,0.00047642857551574724
cifar100,linear,2917091_1,2,0.2528,0.8426666,0.01383063172527071,2.1800808634996136e-05,1.0832285758601394,0.4084831164360046,0.014113740387062233,0.011923027221679686,0.00017657872517903647
cifar100,linear,2917091_1,3,0.3214,0.8035,0.011909929618098395,2.1448172302558962e-05,0.980921330902529,0.3530391212821007,0.017390244865790015,0.010121263153076168,0.0003036001586914063
cifar100,linear,2917091_1,4,0.3887,0.7774,0.009910733710057422,1.7677215333606096e-05,0.8686123481575533,0.2802239471912384,0.019147504460811628,0.008263743743896485,0.00029410134887695316
cifar100,linear,2917091_1,5,0.44699997,0.74499995,0.007969502754070434,5.3164879055093604e-05,0.7719207499872593,0.2243393139839172,0.02482039868831635,0.006618170684814452,0.0003915636698404948
cifar100,linear,2917091_1,6,0.5089,0.72699994,0.005981827482667316,1.1807735297386684e-05,0.6896129624671486,0.17527863965034485,0.027058365702629088,0.004986032745361328,0.0004455555943080358
cifar100,linear,2917091_1,7,0.56070006,0.70087504,0.003978862053839956,4.8022145179055466e-05,0.611672996454996,0.1296968822002411,0.029928159236907968,0.003505551635742188,0.0005389929199218751
cifar100,linear,2917091_1,8,0.6169,0.6854445,0.0020183394891663334,7.674869188560217e-05,0.5237739319409486,0.0764207489967346,0.03169941552480063,0.001942292999267578,0.000564464891221788
cifar100,linear,2917091_1,9,0.6643,0.6643,9.127905337125481e-05,9.127905337125481e-05,0.4505613464140224,0.032467754411697386,0.032467754411697386,0.0006094856567382812,0.0006094856567382812
cifar100,linear,2917080_4,0,0.0955,0.955,0.017461621090372793,5.190845244507308e-06,1.4263381844472196,0.6190841564178468,0.012400186061859178,0.016484148864746098,0.0002633797073364263
cifar100,linear,2917080_4,1,0.17639999,0.88199997,0.015770524569779405,1.4085637431993905e-05,1.2393890761218742,0.5035998351097107,0.01376493331789969,0.014155855041503906,0.00021171295166015616
cifar100,linear,2917080_4,2,0.25169998,0.839,0.013858597105169436,1.3609611429634707e-05,1.078179998302391,0.4033919445633889,0.015944053610165924,0.011897220886230466,0.0002235121536254884
cifar100,linear,2917080_4,3,0.3209,0.80224997,0.011907226169891656,1.8406531114801068e-05,0.9746136815468679,0.3484152267694473,0.01616453087329863,0.010004844238281248,0.00023129640579223621
cifar100,linear,2917080_4,4,0.38630003,0.7726,0.009946138512394842,1.8141322370829654e-05,0.864429050286693,0.28028086295127863,0.01748265424966812,0.008124316223144532,0.0002981786499023438
cifar100,linear,2917080_4,5,0.44459996,0.741,0.007965190615650385,4.4415309865253154e-05,0.7723514626667284,0.22734798910617832,0.02260732187827428,0.006520161926269532,0.00034542121887207026
