number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.7591105699539185,0.07995451484302607,2025-10-30 15:53:00,2025-10-30 16:17:55,0 days 00:24:55,0.0025322881224076003,COMPLETE
1,0.7607143521308899,0.04644289604624022,2025-10-30 15:53:15,2025-10-30 16:19:45,0 days 00:26:30,0.0002182859766088135,COMPLETE
2,0.7637059688568115,0.0695280436671251,2025-10-30 16:17:55,2025-10-30 16:42:56,0 days 00:25:01,0.0021561413476477243,COMPLETE
3,0.7770041227340698,0.033858002701555694,2025-10-30 16:19:45,2025-10-30 16:46:24,0 days 00:26:39,0.0003583900944712585,COMPLETE
4,0.7442496418952942,0.07013115099769446,2025-10-30 16:42:56,2025-10-30 17:07:57,0 days 00:25:01,0.00013193830723080802,COMPLETE
5,0.7511693239212036,0.11960602103153847,2025-10-30 16:46:24,2025-10-30 17:13:03,0 days 00:26:39,0.004041544846399562,COMPLETE
6,0.7522398233413696,0.12326421451440965,2025-10-30 17:07:57,2025-10-30 17:32:55,0 days 00:24:58,0.00466468120579804,COMPLETE
7,0.7579419612884521,0.0931261168841259,2025-10-30 17:13:03,2025-10-30 17:39:43,0 days 00:26:40,0.0031635402659121875,COMPLETE
8,0.7648496031761169,0.10676178243625041,2025-10-30 17:32:55,2025-10-30 17:57:56,0 days 00:25:01,0.004106594469600713,COMPLETE
9,0.7736456990242004,0.02396769216599052,2025-10-30 17:39:43,2025-10-30 18:06:25,0 days 00:26:42,0.0007840138263324947,COMPLETE
10,0.7777361869812012,0.037916107296981985,2025-10-30 17:57:56,2025-10-30 18:22:57,0 days 00:25:01,0.0003287466071738211,COMPLETE
11,0.771099865436554,0.02267015617386976,2025-10-30 18:06:25,2025-10-30 18:33:11,0 days 00:26:46,0.0008055281308793357,COMPLETE
12,0.7800460457801819,0.023850990137745928,2025-10-30 18:22:57,2025-10-30 18:48:00,0 days 00:25:03,0.0008141369046675225,COMPLETE
13,0.7805778980255127,0.02202055840380242,2025-10-30 18:33:11,2025-10-30 18:59:52,0 days 00:26:41,0.0007316268555736539,COMPLETE
14,0.7759424448013306,0.029379388733175825,2025-10-30 18:48:00,2025-10-30 19:13:00,0 days 00:25:00,0.0009684393043107965,COMPLETE
