number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.7409796118736267,0.12164542474161648,2025-10-30 15:53:00,2025-10-30 17:08:29,0 days 01:15:29,0.0012815928223176805,COMPLETE
1,0.6223592758178711,0.21806877063215543,2025-10-30 15:53:15,2025-10-30 17:23:32,0 days 01:30:17,0.002325266314753071,COMPLETE
2,0.06337665021419525,0.1728476045224827,2025-10-30 17:08:29,2025-10-30 18:23:19,0 days 01:14:50,0.00846340693665733,COMPLETE
3,0.702936589717865,0.1572253438899768,2025-10-30 17:23:32,2025-10-30 18:54:07,0 days 01:30:35,0.0016061793411813502,COMPLETE
4,0.3949365019798279,0.3857273689517717,2025-10-30 18:23:19,2025-10-30 19:38:50,0 days 01:15:31,0.004260997820882011,COMPLETE
5,0.7753086090087891,0.08370358858807668,2025-10-30 18:54:07,2025-10-30 20:24:36,0 days 01:30:29,0.0008086511245462348,COMPLETE
6,0.42373308539390564,0.3570231614841064,2025-10-30 19:38:50,2025-10-30 20:54:15,0 days 01:15:25,0.004003673620320186,COMPLETE
7,0.6086570024490356,0.23569308549209547,2025-10-30 20:24:36,2025-10-30 21:54:58,0 days 01:30:22,0.002375777377885945,COMPLETE
8,0.7090321779251099,0.08227391595400567,2025-10-30 20:54:15,2025-10-30 22:09:31,0 days 01:15:16,0.0002474111135240186,COMPLETE
9,0.7605722546577454,0.08623372788034418,2025-10-30 21:54:58,2025-10-30 23:25:17,0 days 01:30:19,0.0007921952822913206,COMPLETE
10,0.3948073983192444,0.38100450269135056,2025-10-30 22:09:32,2025-10-30 23:24:47,0 days 01:15:15,0.004643190597364228,COMPLETE
11,0.7380357980728149,0.08576109966583212,2025-10-30 23:24:47,2025-10-31 00:39:56,0 days 01:15:09,0.0004023098235160698,COMPLETE
12,0.726050853729248,0.07351946922997118,2025-10-30 23:25:17,2025-10-31 00:55:40,0 days 01:30:23,0.0002678431500578335,COMPLETE
13,0.6676016449928284,0.09469165938979562,2025-10-31 00:39:56,2025-10-31 01:55:06,0 days 01:15:10,0.00014256574511884883,COMPLETE
14,0.6305695176124573,0.11299668235340335,2025-10-31 00:55:40,2025-10-31 02:26:01,0 days 01:30:21,0.00011281211525807352,COMPLETE
