number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_peft.beta,state
0,0.859937310218811,0.05517900156335428,2025-10-30 15:53:15,2025-10-30 17:06:47,0 days 01:13:32,0.002141543171994187,0.4857476129382836,COMPLETE
1,0.8259550929069519,0.08055461672457989,2025-10-30 17:06:47,2025-10-30 18:20:18,0 days 01:13:31,0.00010729231315592894,1.1791254370413868,COMPLETE
2,0.8125389218330383,0.10809999645593568,2025-10-30 18:20:18,2025-10-30 19:33:47,0 days 01:13:29,0.004980601512069263,1.6289907298731845,COMPLETE
3,0.8523157835006714,0.04074050742543418,2025-10-30 19:13:10,2025-10-30 20:15:57,0 days 01:02:47,0.0002071696724097698,1.5789732048001441,COMPLETE
4,0.8380943536758423,0.05774193701337319,2025-10-30 19:33:47,2025-10-30 20:47:21,0 days 01:13:34,0.00014221355330034098,1.031018151544328,COMPLETE
5,0.875741183757782,0.018720836477282978,2025-10-30 20:15:57,2025-10-30 21:18:51,0 days 01:02:54,0.0005041879000449537,0.37852582964614134,COMPLETE
6,0.8449164628982544,0.04879861119537181,2025-10-30 20:47:21,2025-10-30 22:00:58,0 days 01:13:37,0.00016731484977337973,1.0215772025619263,COMPLETE
7,0.8701268434524536,0.014532950155423113,2025-10-30 21:18:51,2025-10-30 22:21:42,0 days 01:02:51,0.0005837375659693635,0.5481854668459367,COMPLETE
8,0.8648239374160767,0.025162769639138372,2025-10-30 22:00:58,2025-10-30 23:14:36,0 days 01:13:38,0.00034452960842911313,0.7903732066332851,COMPLETE
9,0.8663309812545776,0.03501974106366697,2025-10-30 22:21:42,2025-10-30 23:24:34,0 days 01:02:52,0.0016819834507072052,0.18299169000827842,COMPLETE
10,0.8685253262519836,0.049303209104552756,2025-10-30 23:14:36,2025-10-31 00:28:10,0 days 01:13:34,0.002125192920575648,0.9414454939460268,COMPLETE
11,0.881040096282959,0.013354200529239742,2025-10-30 23:24:35,2025-10-31 00:27:28,0 days 01:02:53,0.0007428353132097698,0.6130333946979136,COMPLETE
12,0.8744291067123413,0.0158147270934505,2025-10-31 00:27:28,2025-10-31 01:30:27,0 days 01:02:59,0.000703370450461118,0.6231279994464216,COMPLETE
13,0.8780673742294312,0.012684019648452272,2025-10-31 00:28:10,2025-10-31 01:41:46,0 days 01:13:36,0.0007440303009461687,1.9795644628626805,COMPLETE
14,0.03009403869509697,0.47747844515116605,2025-10-31 01:30:27,2025-10-31 02:32:43,0 days 01:02:16,0.008467541799952386,1.9923407344550095,COMPLETE
