number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.8937878608703613,0.033858490819674306,2025-10-30 19:00:01,2025-10-30 21:48:26,0 days 02:48:25,0.000200424166774769,COMPLETE
1,0.8212423324584961,0.12053637062684167,2025-10-30 21:48:26,2025-10-31 00:37:12,0 days 02:48:46,0.0020765303071623386,COMPLETE
2,0.89369136095047,0.02822628616814978,2025-10-31 00:37:12,2025-10-31 03:25:44,0 days 02:48:32,0.00013181030932949423,COMPLETE
3,0.08680950105190277,0.09420869861360961,2025-10-31 01:55:17,2025-10-31 04:15:07,0 days 02:19:50,0.009090031826305,COMPLETE
4,0.081601083278656,0.0908907984301307,2025-10-31 03:25:44,2025-10-31 06:13:48,0 days 02:48:04,0.009835646574496943,COMPLETE
5,0.153122216463089,0.10159960637149357,2025-10-31 04:15:07,2025-10-31 06:34:59,0 days 02:19:52,0.005160374468124528,COMPLETE
6,0.8218129277229309,0.1174242854655588,2025-10-31 06:13:48,2025-10-31 09:02:10,0 days 02:48:22,0.0023735786463430493,COMPLETE
7,0.8316131830215454,0.11564443547352354,2025-10-31 06:34:59,2025-10-31 08:56:03,0 days 02:21:04,0.0018333437570627446,COMPLETE
8,0.8659420013427734,0.08147672438005112,2025-10-31 08:56:03,2025-10-31 11:17:13,0 days 02:21:10,0.0008565229600476732,COMPLETE
9,0.8326228260993958,0.11210622361496454,2025-10-31 09:02:10,2025-10-31 11:50:12,0 days 02:48:02,0.00192926113690295,COMPLETE
10,0.8146263360977173,0.12048944019277337,2025-10-31 11:17:13,2025-10-31 13:38:48,0 days 02:21:35,0.0025876135291102976,COMPLETE
11,0.8927596807479858,0.025748946248018913,2025-10-31 11:50:12,2025-10-31 14:38:25,0 days 02:48:13,0.00011509569010198227,COMPLETE
12,0.8966954350471497,0.024892997311440273,2025-10-31 13:38:49,2025-10-31 16:00:19,0 days 02:21:30,0.00012367435833316104,COMPLETE
13,0.894311249256134,0.024563201612757664,2025-10-31 14:38:25,2025-10-31 17:26:44,0 days 02:48:19,0.00010635298547521963,COMPLETE
14,0.8853071331977844,0.049776620112963896,2025-10-31 16:00:19,2025-10-31 18:21:57,0 days 02:21:38,0.0003998997283213288,COMPLETE
