number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_strategy.alpha,params_strategy.beta,state
0,0.8150075674057007,0.08066690981911444,2025-10-31 02:26:10,2025-10-31 05:19:25,0 days 02:53:15,0.003194795015551804,0.5267445183584538,0.001238050210303543,COMPLETE
1,0.2959153354167938,0.163698029864551,2025-10-31 04:44:10,2025-10-31 07:05:58,0 days 02:21:48,0.003808699165898571,0.9346472182985622,0.5769836399291495,COMPLETE
2,0.8747202754020691,0.054595673599059494,2025-10-31 05:19:25,2025-10-31 08:12:54,0 days 02:53:29,0.0011104824637187434,0.33205167012551073,0.03515651689327526,COMPLETE
3,0.8914200663566589,0.023285987215443085,2025-10-31 07:05:58,2025-10-31 09:28:12,0 days 02:22:14,0.0001329392225963439,0.23459038464688653,0.1487644086065083,COMPLETE
4,0.8975657224655151,0.02842484366504905,2025-10-31 08:12:54,2025-10-31 11:06:32,0 days 02:53:38,0.0003830715108047235,0.2105478846516995,0.1452450195997158,COMPLETE
5,0.9017369151115417,0.021207330204250176,2025-10-31 09:28:12,2025-10-31 11:50:46,0 days 02:22:34,0.0002013105576702762,0.4793670611346077,0.7576030205164327,COMPLETE
6,0.8984640836715698,0.01811285294119951,2025-10-31 11:06:32,2025-10-31 14:00:32,0 days 02:54:00,0.00011936176010395977,0.20769559341143773,0.4192787917850427,COMPLETE
7,0.8590920567512512,0.06397003024348909,2025-10-31 11:50:46,2025-10-31 14:13:30,0 days 02:22:44,0.0017740459017966611,0.7686679065898595,0.5426393446414062,COMPLETE
8,0.8373333215713501,0.07487989010681494,2025-10-31 14:00:32,2025-10-31 16:54:28,0 days 02:53:56,0.0030432155551267832,0.6588160630373253,0.7929492950869728,COMPLETE
9,0.8974205255508423,0.03172149835117675,2025-10-31 14:13:30,2025-10-31 16:36:05,0 days 02:22:35,0.0005131795853750667,0.4557849853439315,0.8669867390768428,COMPLETE
10,0.8258984684944153,0.08194661662707284,2025-10-31 16:36:05,2025-10-31 18:58:25,0 days 02:22:20,0.0031891523038393914,0.9102917441151582,0.5673577603921133,COMPLETE
11,0.1253882199525833,0.13124096407695046,2025-10-31 16:54:28,2025-10-31 19:47:26,0 days 02:52:58,0.007592366605133295,0.009594954385414578,0.34799439302086665,COMPLETE
12,0.8977441787719727,0.020434072413282912,2025-10-31 18:58:25,2025-10-31 21:21:10,0 days 02:22:45,0.00010187155114583026,0.09203542248052515,0.3510366699768207,COMPLETE
13,0.8905808329582214,0.024947498725996685,2025-10-31 19:47:26,2025-10-31 22:41:08,0 days 02:53:42,0.00012292326385933658,0.00831234538423925,0.3419597467850667,COMPLETE
14,0.9009978175163269,0.020803234244665784,2025-10-31 21:21:10,2025-10-31 23:43:41,0 days 02:22:31,0.00021793155725069913,0.33017783746682455,0.4033310510563825,COMPLETE
