number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.8999999761581421,0.014421218299865684,2025-10-31 06:44:40,2025-10-31 07:54:19,0 days 01:09:39,0.0001874067647556762,COMPLETE
1,0.9014000296592712,0.019200532341003426,2025-10-31 07:26:31,2025-10-31 08:52:07,0 days 01:25:36,0.00025883202281542866,COMPLETE
2,0.8980000019073486,0.031865206742286684,2025-10-31 07:54:19,2025-10-31 09:03:57,0 days 01:09:38,0.00038041330199978793,COMPLETE
3,0.9021999835968018,0.024145558655262005,2025-10-31 08:52:07,2025-10-31 10:17:48,0 days 01:25:41,0.00031137010417795727,COMPLETE
4,0.8930000066757202,0.05082050507068632,2025-10-31 09:03:57,2025-10-31 10:13:36,0 days 01:09:39,0.0009723309889377325,COMPLETE
5,0.05420000106096268,0.03376579909324645,2025-10-31 10:13:36,2025-10-31 11:22:52,0 days 01:09:16,0.00876765578851955,COMPLETE
6,0.8992000222206116,0.00593730050325393,2025-10-31 10:17:48,2025-10-31 11:43:27,0 days 01:25:39,0.0001367762509003881,COMPLETE
7,0.8691999912261963,0.03249387462139125,2025-10-31 11:22:52,2025-10-31 12:32:45,0 days 01:09:53,0.00264334146302765,COMPLETE
8,0.9007999897003174,0.030488097453117362,2025-10-31 11:43:27,2025-10-31 13:09:07,0 days 01:25:40,0.00040103984195706077,COMPLETE
9,0.8654000163078308,0.057188930797576885,2025-10-31 12:32:45,2025-10-31 13:42:36,0 days 01:09:51,0.002314445071872468,COMPLETE
10,0.9031999707221985,0.009006835322082046,2025-10-31 13:09:07,2025-10-31 14:34:47,0 days 01:25:40,0.00012824033441244837,COMPLETE
11,0.9031999707221985,0.009441515648364962,2025-10-31 13:42:36,2025-10-31 14:52:30,0 days 01:09:54,0.00012346178472724006,COMPLETE
12,0.8985999822616577,0.008888035011291498,2025-10-31 14:34:47,2025-10-31 16:00:26,0 days 01:25:39,0.00011898808868250347,COMPLETE
13,0.8981999754905701,0.009078328227996814,2025-10-31 14:52:30,2025-10-31 16:02:18,0 days 01:09:48,0.00010266171147811724,COMPLETE
14,0.8898000121116638,0.04952756013870245,2025-10-31 16:00:26,2025-10-31 17:26:05,0 days 01:25:39,0.0008969396159026076,COMPLETE
