number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.7460252046585083,0.02881250808477248,2025-11-02 11:14:23,2025-11-02 12:01:10,0 days 00:46:47,0.0001967980418348253,COMPLETE
1,0.686819851398468,0.23524026172089146,2025-11-02 12:01:10,2025-11-02 12:48:17,0 days 00:47:07,0.007357347544578192,COMPLETE
2,0.7186048030853271,0.12161467196881981,2025-11-02 12:16:29,2025-11-02 13:08:21,0 days 00:51:52,0.002712453793313242,COMPLETE
3,0.7475532293319702,0.019086207360024122,2025-11-02 12:48:17,2025-11-02 13:35:20,0 days 00:47:03,0.0006172067742997195,COMPLETE
4,0.7498258352279663,0.0187580041423851,2025-11-02 13:08:21,2025-11-02 14:00:08,0 days 00:51:47,0.00039192575280794066,COMPLETE
5,0.7496083378791809,0.022502409418096697,2025-11-02 13:35:20,2025-11-02 14:22:22,0 days 00:47:02,0.00034824415920003954,COMPLETE
6,0.7393460273742676,0.03302251836711416,2025-11-02 14:00:08,2025-11-02 14:52:01,0 days 00:51:53,0.00012436075085960811,COMPLETE
7,0.7477238774299622,0.020453139243808628,2025-11-02 14:22:22,2025-11-02 15:09:29,0 days 00:47:07,0.0005598790338511323,COMPLETE
8,0.7420873641967773,0.03421968501185201,2025-11-02 14:52:01,2025-11-02 15:44:10,0 days 00:52:09,0.0008339458347311246,COMPLETE
9,0.690457820892334,0.2247156765525024,2025-11-02 15:09:29,2025-11-02 15:56:32,0 days 00:47:03,0.006870160144394576,COMPLETE
10,0.7379547953605652,0.047270764096216104,2025-11-02 15:44:10,2025-11-02 16:35:48,0 days 00:51:38,0.0010980323369203248,COMPLETE
11,0.7303109169006348,0.07951475333264171,2025-11-02 15:56:32,2025-11-02 16:44:00,0 days 00:47:28,0.0017620469545271324,COMPLETE
12,0.7496136426925659,0.026527393498639678,2025-11-02 16:35:48,2025-11-02 17:28:24,0 days 00:52:36,0.000282237410290242,COMPLETE
13,0.7478578686714172,0.021877596769894134,2025-11-02 16:44:00,2025-11-02 17:31:12,0 days 00:47:12,0.00029268363625267274,COMPLETE
14,0.7347352504730225,0.034471059140836556,2025-11-02 17:28:24,2025-11-02 18:20:37,0 days 00:52:13,0.0001052586284294828,COMPLETE
