number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.6882055997848511,0.06821487412466963,2025-11-02 13:46:04,2025-11-02 15:55:50,0 days 02:09:46,0.0010244713633225815,COMPLETE
1,0.6695246696472168,0.08188875897805961,2025-11-02 15:37:29,2025-11-02 18:11:03,0 days 02:33:34,0.0012948788838446018,COMPLETE
2,0.6240657567977905,0.08230432089109414,2025-11-02 15:55:50,2025-11-02 18:05:45,0 days 02:09:55,0.0027591292834758243,COMPLETE
3,0.7168115377426147,0.05344672271619731,2025-11-02 18:05:45,2025-11-02 20:14:44,0 days 02:08:59,0.0006108809685689949,COMPLETE
4,0.567716121673584,0.07044299443721043,2025-11-02 18:11:03,2025-11-02 20:44:28,0 days 02:33:25,0.004218122183690515,COMPLETE
5,0.7261970639228821,0.01594117892790112,2025-11-02 20:14:44,2025-11-02 22:23:23,0 days 02:08:39,0.00013434985404760832,COMPLETE
6,0.7418724894523621,0.0249522143136428,2025-11-02 20:44:28,2025-11-02 23:17:47,0 days 02:33:19,0.00038948093553173047,COMPLETE
7,0.7124676704406738,0.05701372762501493,2025-11-02 22:23:23,2025-11-03 00:32:04,0 days 02:08:41,0.0007459427183878063,COMPLETE
8,0.669770359992981,0.0857617667347867,2025-11-02 23:17:47,2025-11-03 01:51:09,0 days 02:33:22,0.001167851501719845,COMPLETE
9,0.5138736963272095,0.07569590030447593,2025-11-03 00:32:04,2025-11-03 02:40:52,0 days 02:08:48,0.005475535079347046,COMPLETE
10,0.742546796798706,0.012826683608380112,2025-11-03 01:51:09,2025-11-03 04:24:28,0 days 02:33:19,0.00021601742221046856,COMPLETE
11,0.7196875810623169,0.014962536578495094,2025-11-03 02:40:52,2025-11-03 04:49:39,0 days 02:08:47,0.00010769312889406358,COMPLETE
12,0.7186974287033081,0.015375030732992304,2025-11-03 04:24:28,2025-11-03 06:57:54,0 days 02:33:26,0.00010932705905267283,COMPLETE
13,0.7328110933303833,0.013932221552038677,2025-11-03 04:49:39,2025-11-03 06:58:28,0 days 02:08:49,0.00014704595559920892,COMPLETE
14,0.7476654648780823,0.01628250529198884,2025-11-03 06:57:54,2025-11-03 09:31:20,0 days 02:33:26,0.0002473850958368294,COMPLETE
