number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_peft.beta,state
0,0.6487763524055481,0.049260001492312286,2025-11-02 17:31:22,2025-11-02 19:46:09,0 days 02:14:47,0.004187878371922684,1.5545762323099126,COMPLETE
1,0.6389025449752808,0.05308005135866364,2025-11-02 18:20:48,2025-11-02 20:15:44,0 days 01:54:56,0.004732507539291164,1.6131408054710137,COMPLETE
2,0.7655792832374573,0.028819673920512018,2025-11-02 19:46:09,2025-11-02 22:01:04,0 days 02:14:55,0.0007270536618182428,0.6772726689530837,COMPLETE
3,0.005372601095587015,0.0558661005274115,2025-11-02 20:15:44,2025-11-02 22:09:46,0 days 01:54:02,0.009207139774822628,1.8264630101697445,COMPLETE
4,0.7644861340522766,0.0314644773757543,2025-11-02 22:01:04,2025-11-03 00:16:08,0 days 02:15:04,0.0008176761729565877,0.2156989688054316,COMPLETE
5,0.6743102073669434,0.044828440142163715,2025-11-02 22:09:46,2025-11-03 00:04:41,0 days 01:54:55,0.00416648284493829,1.1884381739980483,COMPLETE
6,0.7107469439506531,0.05230665545670872,2025-11-03 00:04:41,2025-11-03 01:59:27,0 days 01:54:46,0.002359930778531634,1.2127669580803544,COMPLETE
7,0.6917034983634949,0.05126653449971543,2025-11-03 00:16:08,2025-11-03 02:31:13,0 days 02:15:05,0.0035547735980765347,1.0083012236929532,COMPLETE
8,0.6891945600509644,0.05036209305457814,2025-11-03 01:59:28,2025-11-03 03:54:05,0 days 01:54:37,0.0037656197415164815,0.9551614419918488,COMPLETE
9,0.7694770693778992,0.018374961796856472,2025-11-03 02:31:13,2025-11-03 04:46:18,0 days 02:15:05,0.0005464814966534734,0.6851057257733608,COMPLETE
10,0.7570474743843079,0.044140906060259964,2025-11-03 03:54:05,2025-11-03 05:48:46,0 days 01:54:41,0.0011117645622450907,0.6248951927801223,COMPLETE
11,0.7612172365188599,0.023570729075585405,2025-11-03 04:46:18,2025-11-03 07:01:17,0 days 02:14:59,0.00016954301311919337,0.022413852372740406,COMPLETE
12,0.7601422071456909,0.02203873950797596,2025-11-03 05:48:46,2025-11-03 07:43:26,0 days 01:54:40,0.00018436067094448406,0.4889093180483199,COMPLETE
13,0.7617859840393066,0.018377304004726064,2025-11-03 07:01:17,2025-11-03 09:16:03,0 days 02:14:46,0.00020381266912728954,0.031054714004178696,COMPLETE
14,0.76715487241745,0.018479572810555112,2025-11-03 07:43:26,2025-11-03 09:38:14,0 days 01:54:48,0.0002781231944202204,0.44711336772782406,COMPLETE
