number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.6079143285751343,0.16411551320794476,2025-11-03 06:58:40,2025-11-03 10:43:48,0 days 03:45:08,0.00207270427064582,COMPLETE
1,0.6158084869384766,0.16094896580701637,2025-11-03 09:16:13,2025-11-03 13:46:11,0 days 04:29:58,0.0020969932825575855,COMPLETE
2,0.6263571977615356,0.15354416238895457,2025-11-03 10:43:48,2025-11-03 14:31:26,0 days 03:47:38,0.000674978469087453,COMPLETE
3,0.5641113519668579,0.16619250349866022,2025-11-03 13:46:11,2025-11-03 18:16:15,0 days 04:30:04,0.005405835010309267,COMPLETE
4,0.5990365147590637,0.157226223764668,2025-11-03 14:31:26,2025-11-03 18:17:22,0 days 03:45:56,0.0033865171759313163,COMPLETE
5,0.6260430216789246,0.158611007221779,2025-11-03 18:16:15,2025-11-03 22:45:35,0 days 04:29:20,0.0014046588276475543,COMPLETE
6,0.6317590475082397,0.1560498619644181,2025-11-03 18:17:22,2025-11-03 22:02:52,0 days 03:45:30,0.000835268720053578,COMPLETE
7,0.6442863345146179,0.1282738896829928,2025-11-03 22:02:52,2025-11-04 01:47:53,0 days 03:45:01,0.0003732180184554415,COMPLETE
8,0.6705494523048401,0.08750789638893727,2025-11-03 22:45:36,2025-11-04 03:14:51,0 days 04:29:15,0.00016606114189514847,COMPLETE
9,0.15162819623947144,0.0399162438917184,2025-11-04 01:47:53,2025-11-04 05:32:03,0 days 03:44:10,0.008659159096590633,COMPLETE
10,0.6129299402236938,0.16148220740346497,2025-11-04 03:14:51,2025-11-04 07:44:21,0 days 04:29:30,0.0019454278591581307,COMPLETE
11,0.6767852306365967,0.07760201327474721,2025-11-04 05:32:03,2025-11-04 09:17:09,0 days 03:45:06,0.00012706566990837036,COMPLETE
12,0.6769611239433289,0.08182892875509458,2025-11-04 07:44:21,2025-11-04 12:15:48,0 days 04:31:27,0.00014757223766870893,COMPLETE
13,0.6831969022750854,0.06966426792069128,2025-11-04 09:17:09,2025-11-04 13:02:37,0 days 03:45:28,0.0001085436603671614,COMPLETE
14,0.14067396521568298,0.020309605001631793,2025-11-04 12:15:48,2025-11-04 16:45:44,0 days 04:29:56,0.009812135329230047,COMPLETE
