number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.46071332693099976,0.2455225352573208,2025-11-03 09:31:30,2025-11-03 09:45:40,0 days 00:14:10,0.009631444310990916,COMPLETE
1,0.49719443917274475,0.24323368597976597,2025-11-03 09:38:25,2025-11-03 09:51:58,0 days 00:13:33,0.006910887635745398,COMPLETE
2,0.5799731612205505,0.16643717257190616,2025-11-03 09:45:40,2025-11-03 09:59:58,0 days 00:14:18,0.0034737227723358995,COMPLETE
3,0.6128000020980835,0.06457088382250631,2025-11-03 09:51:58,2025-11-03 10:05:47,0 days 00:13:49,0.0013711220930390485,COMPLETE
4,0.6168991327285767,0.03064875569339274,2025-11-03 09:59:58,2025-11-03 10:14:16,0 days 00:14:18,0.0010598274301651753,COMPLETE
5,0.4526383876800537,0.24989536632082773,2025-11-03 10:05:47,2025-11-03 10:19:35,0 days 00:13:48,0.008943684726034384,COMPLETE
6,0.6180897355079651,0.06352148149918846,2025-11-03 10:14:16,2025-11-03 10:28:34,0 days 00:14:18,0.0015116723196044878,COMPLETE
7,0.6228162050247192,0.037255820133924956,2025-11-03 10:19:35,2025-11-03 10:33:23,0 days 00:13:48,0.0012061337721575958,COMPLETE
8,0.6161657571792603,0.050474497948485596,2025-11-03 10:28:34,2025-11-03 10:42:49,0 days 00:14:15,0.001306176936119211,COMPLETE
9,0.5994380116462708,0.057728567025053565,2025-11-03 10:33:23,2025-11-03 10:47:06,0 days 00:13:43,0.00048582218236757624,COMPLETE
10,0.6128318309783936,0.07086166920218637,2025-11-03 10:42:49,2025-11-03 10:57:11,0 days 00:14:22,0.0016306561587610148,COMPLETE
11,0.23245330154895782,0.14486274400078109,2025-11-03 10:47:06,2025-11-03 11:00:50,0 days 00:13:44,0.00010223713829522682,COMPLETE
12,0.40490132570266724,0.20693214232601545,2025-11-03 10:57:11,2025-11-03 11:11:31,0 days 00:14:20,0.000166252295300937,COMPLETE
13,0.588243842124939,0.0762510904959305,2025-11-03 11:00:50,2025-11-03 11:14:32,0 days 00:13:42,0.00043363058798029895,COMPLETE
14,0.5969245433807373,0.05776148843828094,2025-11-03 11:11:31,2025-11-03 11:25:51,0 days 00:14:20,0.000458865945288972,COMPLETE
