number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_strategy.alpha,params_strategy.beta,state
0,0.6429818272590637,0.10310334303411935,2025-11-03 11:07:18,2025-11-03 15:11:12,0 days 04:03:54,0.0016852553125350342,0.09377333603955973,0.17707696806524476,COMPLETE
1,0.18136587738990784,0.028640570276751924,2025-11-03 11:26:00,2025-11-03 16:17:41,0 days 04:51:41,0.006363124310296297,0.6002129900351592,0.8619392421567397,COMPLETE
2,0.6358738541603088,0.1135744588627946,2025-11-03 15:11:12,2025-11-03 19:14:53,0 days 04:03:41,0.0018733145477245658,0.7442506543261206,0.8033894529756902,COMPLETE
3,0.7110564112663269,0.03150557996010379,2025-11-03 16:17:41,2025-11-03 21:09:35,0 days 04:51:54,0.0002842558446950415,0.9872811591021334,0.9833942182588166,COMPLETE
4,0.6231597065925598,0.09186741445063802,2025-11-03 19:14:54,2025-11-03 23:17:53,0 days 04:02:59,0.0003304013568069354,0.04135209568115639,0.013575086476232179,COMPLETE
5,0.14182719588279724,0.018667060436083488,2025-11-03 21:09:35,2025-11-04 02:00:34,0 days 04:50:59,0.009838104655925212,0.5929699468029468,0.9650995340907815,COMPLETE
6,0.6256333589553833,0.09925941042551768,2025-11-03 23:17:53,2025-11-04 03:21:30,0 days 04:03:37,0.00202341858201024,0.48804294816660554,0.0656617214420907,COMPLETE
7,0.5969292521476746,0.09066394864183726,2025-11-04 02:00:34,2025-11-04 06:52:45,0 days 04:52:11,0.00013321951260658545,0.03200461186663506,0.008957162091185356,COMPLETE
8,0.7067345380783081,0.03737353030979366,2025-11-04 03:21:30,2025-11-04 07:25:27,0 days 04:03:57,0.0002565513595896834,0.4294707340410965,0.7338240599494456,COMPLETE
9,0.6129255890846252,0.12642873633294238,2025-11-04 06:52:45,2025-11-04 11:44:59,0 days 04:52:14,0.0029058227567636185,0.020598008096710307,0.20069219664721305,COMPLETE
10,0.692171573638916,0.05148637342787228,2025-11-04 07:25:27,2025-11-04 11:28:54,0 days 04:03:27,0.0002704558977612997,0.20014384917429806,0.24353628709831576,COMPLETE
11,0.6750317811965942,0.08382545150474338,2025-11-04 11:28:54,2025-11-04 15:32:32,0 days 04:03:38,0.0007790091540332262,0.9937203763123522,0.5702144296813969,COMPLETE
12,0.682811975479126,0.07361579219092854,2025-11-04 11:44:59,2025-11-04 16:37:12,0 days 04:52:13,0.0006061974855202277,0.9819446890901352,0.9334988541378036,COMPLETE
13,0.6767596006393433,0.08071721746387121,2025-11-04 15:32:32,2025-11-04 19:35:27,0 days 04:02:55,0.0007051155650805331,0.9730028958537101,0.9359702347124889,COMPLETE
14,0.7210227251052856,0.024630977942403032,2025-11-04 16:37:12,2025-11-04 21:29:40,0 days 04:52:28,0.00013007388259313337,0.8121520325874534,0.9978319407795556,COMPLETE
