number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.713488757610321,0.020667092943698194,2025-11-03 11:14:44,2025-11-03 13:15:04,0 days 02:00:20,0.002156746700281247,COMPLETE
1,0.7210744023323059,0.020058278012866852,2025-11-03 12:05:27,2025-11-03 14:31:21,0 days 02:25:54,0.002157258322881004,COMPLETE
2,0.7451298832893372,0.013153927807543314,2025-11-03 13:15:04,2025-11-03 15:15:18,0 days 02:00:14,0.0001266981603256421,COMPLETE
3,0.7509444952011108,0.017617413229193583,2025-11-03 14:31:21,2025-11-03 16:57:19,0 days 02:25:58,0.000681031499647697,COMPLETE
4,0.6325265765190125,0.01883445427859687,2025-11-03 15:15:18,2025-11-03 17:15:35,0 days 02:00:17,0.005152801664638259,COMPLETE
5,0.7450413107872009,0.014946375067709756,2025-11-03 16:57:19,2025-11-03 19:23:14,0 days 02:25:55,0.000127078353247092,COMPLETE
6,0.70472252368927,0.01724703337253895,2025-11-03 17:15:35,2025-11-03 19:15:42,0 days 02:00:07,0.0030197077165083383,COMPLETE
7,0.7526564598083496,0.016965484675437792,2025-11-03 19:15:42,2025-11-03 21:15:44,0 days 02:00:02,0.0003276958545373731,COMPLETE
8,0.6523022651672363,0.01909505124638183,2025-11-03 19:23:14,2025-11-03 21:49:10,0 days 02:25:56,0.004775951571070478,COMPLETE
9,0.7417650818824768,0.016403561668666234,2025-11-03 21:15:44,2025-11-03 23:15:48,0 days 02:00:04,0.001104431663616998,COMPLETE
10,0.7297815680503845,0.019845702009189767,2025-11-03 21:49:10,2025-11-04 00:15:01,0 days 02:25:51,0.0018840660203750074,COMPLETE
11,0.7493506669998169,0.021738909155024817,2025-11-03 23:15:48,2025-11-04 01:15:49,0 days 02:00:01,0.00010816392618568482,COMPLETE
12,0.7455726265907288,0.019710040570994323,2025-11-04 00:15:01,2025-11-04 02:40:56,0 days 02:25:55,0.00010551237131633594,COMPLETE
13,0.7510035634040833,0.017037502173972097,2025-11-04 01:15:49,2025-11-04 03:15:56,0 days 02:00:07,0.0003090425654304959,COMPLETE
14,0.7494391798973083,0.01759773252142641,2025-11-04 02:40:56,2025-11-04 05:06:50,0 days 02:25:54,0.0002958806228088633,COMPLETE
