number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_rwalk.ewc_alpha,params_rwalk.ewc_lambda,state
0,0.7275499105453491,0.03047326180100801,2025-11-04 03:16:07,2025-11-04 07:22:03,0 days 04:05:56,0.002849242006479949,0.745719264909666,0.7052128550041011,COMPLETE
1,0.769887387752533,0.026019160274752352,2025-11-04 05:06:59,2025-11-04 10:04:28,0 days 04:57:29,0.0006508207188775975,0.2235699937335437,0.6840714008617022,COMPLETE
2,0.7604080438613892,0.03619871515276086,2025-11-04 07:22:03,2025-11-04 11:28:25,0 days 04:06:22,0.0010945271008144944,0.07886569855373027,0.7257959573316395,COMPLETE
3,0.7407076954841614,0.035833300525378343,2025-11-04 10:04:28,2025-11-04 15:01:43,0 days 04:57:15,0.0024817635986440737,0.07307005474712214,0.5472262107478847,COMPLETE
4,0.7060164213180542,0.031145627069003534,2025-11-04 11:28:25,2025-11-04 15:34:24,0 days 04:05:59,0.003762630530659993,0.8555781228439822,0.021006367416603666,COMPLETE
5,0.7549799084663391,0.029359915978543087,2025-11-04 15:01:43,2025-11-04 19:59:07,0 days 04:57:24,0.001587103288208561,0.4757671591703452,0.7040438743607711,COMPLETE
6,0.7574294805526733,0.019551515413073407,2025-11-04 15:34:24,2025-11-04 19:40:12,0 days 04:05:48,0.0001519976294531776,0.6426599870472209,0.581315736834474,COMPLETE
7,0.7263249754905701,0.027396587649535044,2025-11-04 19:40:12,2025-11-04 23:45:00,0 days 04:04:48,0.0029978040293064095,0.14566986696054562,0.5868368305201552,COMPLETE
8,0.7662404775619507,0.01519102179570173,2025-11-04 19:59:07,2025-11-05 00:56:08,0 days 04:57:01,0.00019288000131963712,0.18053918801151692,0.6102894877321402,COMPLETE
9,0.5908142924308777,0.03165837805150783,2025-11-04 23:45:00,2025-11-05 03:49:40,0 days 04:04:40,0.00796158311264116,0.05357894408553965,0.7698272140418501,COMPLETE
10,0.7338809370994568,0.02469200578491084,2025-11-05 00:56:08,2025-11-05 05:52:59,0 days 04:56:51,0.002930107919427961,0.5262937752816058,0.29225428214787774,COMPLETE
11,0.7520178556442261,0.0176851260350654,2025-11-05 03:49:40,2025-11-05 07:54:11,0 days 04:04:31,0.00012334168708894437,0.3614066898960629,0.9647084427133568,COMPLETE
12,0.7649742364883423,0.014068446000847574,2025-11-05 05:52:59,2025-11-05 10:49:48,0 days 04:56:49,0.00019910305446384742,0.30083958986063714,0.9569796917883463,COMPLETE
13,0.7711784839630127,0.015520927363393116,2025-11-05 07:54:11,2025-11-05 11:59:04,0 days 04:04:53,0.0003638406538589811,0.2759062362509989,0.35242071357075044,COMPLETE
14,0.7707796096801758,0.014420967130747187,2025-11-05 10:49:48,2025-11-05 15:47:11,0 days 04:57:23,0.00032555124005513846,0.2990028305254943,0.9688832907033482,COMPLETE
