number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.6913269758224487,0.15183731060622613,2025-10-31 17:26:52,2025-10-31 18:07:02,0 days 00:40:10,0.0035533625861838745,COMPLETE
1,0.7143476605415344,0.11191878022880837,2025-10-31 18:07:02,2025-10-31 18:47:46,0 days 00:40:44,0.002567887125936186,COMPLETE
2,0.7288675904273987,0.035884594526735966,2025-10-31 18:22:07,2025-10-31 19:05:22,0 days 00:43:15,0.0003343308468643568,COMPLETE
3,0.726178765296936,0.038916141254142264,2025-10-31 18:47:46,2025-10-31 19:28:33,0 days 00:40:47,0.00029272516693058684,COMPLETE
4,0.6928092241287231,0.1668690354407363,2025-10-31 19:05:22,2025-10-31 19:49:18,0 days 00:43:56,0.0041101292016787845,COMPLETE
5,0.6841937899589539,0.17177367455547848,2025-10-31 19:28:33,2025-10-31 20:09:09,0 days 00:40:36,0.0038626133494306975,COMPLETE
6,0.6967473030090332,0.086389537073978,2025-10-31 19:49:18,2025-10-31 20:33:18,0 days 00:44:00,0.00011052310552591987,COMPLETE
7,0.713960587978363,0.0765911205599327,2025-10-31 20:09:09,2025-10-31 20:49:57,0 days 00:40:48,0.001423228345227496,COMPLETE
8,0.6822048425674438,0.18855529811318472,2025-10-31 20:33:19,2025-10-31 21:17:01,0 days 00:43:42,0.005062529805147296,COMPLETE
9,0.7069090604782104,0.09480683611334764,2025-10-31 20:49:57,2025-10-31 21:30:48,0 days 00:40:51,0.00011028127013920702,COMPLETE
10,0.7269830703735352,0.042819709106896295,2025-10-31 21:17:01,2025-10-31 22:00:55,0 days 00:43:54,0.00027629467608842684,COMPLETE
11,0.7257057428359985,0.02794934550387716,2025-10-31 21:30:48,2025-10-31 22:11:47,0 days 00:40:59,0.000398102849111541,COMPLETE
12,0.728611171245575,0.029510657551314497,2025-10-31 22:00:55,2025-10-31 22:45:06,0 days 00:44:11,0.0004454563951928526,COMPLETE
13,0.7360743880271912,0.03128765544384324,2025-10-31 22:11:47,2025-10-31 22:52:41,0 days 00:40:54,0.00046989294807544055,COMPLETE
14,0.7262516617774963,0.044241376678645986,2025-10-31 22:45:06,2025-10-31 23:29:08,0 days 00:44:02,0.0008618249384381076,COMPLETE
