number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.6281106472015381,0.106008171599925,2025-10-31 22:41:17,2025-11-01 00:36:24,0 days 01:55:07,0.0003589886144656037,COMPLETE
1,0.6468894481658936,0.1257285738719337,2025-10-31 23:29:18,2025-11-01 01:07:38,0 days 01:38:20,0.0007555655089880181,COMPLETE
2,0.648205041885376,0.12050015398905982,2025-11-01 00:36:24,2025-11-01 02:32:05,0 days 01:55:41,0.0006676873611979023,COMPLETE
3,0.45960068702697754,0.2829756593931437,2025-11-01 01:07:38,2025-11-01 02:46:36,0 days 01:38:58,0.002778012755932412,COMPLETE
4,0.6323953866958618,0.12121748009420075,2025-11-01 02:32:05,2025-11-01 04:27:35,0 days 01:55:30,0.00048214041925490265,COMPLETE
5,0.6553228497505188,0.11307422460185794,2025-11-01 02:46:36,2025-11-01 04:25:30,0 days 01:38:54,0.0006409580370310097,COMPLETE
6,0.6273935437202454,0.1186182368944356,2025-11-01 04:25:30,2025-11-01 06:04:18,0 days 01:38:48,0.0003630682726978632,COMPLETE
7,0.6544496417045593,0.11181732821818095,2025-11-01 04:27:35,2025-11-01 06:23:15,0 days 01:55:40,0.000565500882890903,COMPLETE
8,0.45193910598754883,0.29844203427308535,2025-11-01 06:04:18,2025-11-01 07:43:13,0 days 01:38:55,0.0027779588501507992,COMPLETE
9,0.638993501663208,0.11616268197283038,2025-11-01 06:23:15,2025-11-01 08:18:48,0 days 01:55:33,0.00048516493564189784,COMPLETE
10,0.5998224020004272,0.09106599195224273,2025-11-01 07:43:13,2025-11-01 09:22:11,0 days 01:38:58,0.00020150181386008033,COMPLETE
11,0.5395857691764832,0.09513927764036506,2025-11-01 08:18:49,2025-11-01 10:14:32,0 days 01:55:43,0.00010021976156691173,COMPLETE
12,0.5627726316452026,0.08945462570761945,2025-11-01 09:22:11,2025-11-01 11:01:19,0 days 01:39:08,0.00010650344538115454,COMPLETE
13,0.5578126311302185,0.09597457676660102,2025-11-01 10:14:32,2025-11-01 12:10:35,0 days 01:56:03,0.00012367220754792645,COMPLETE
14,0.02841312624514103,0.06922685888312657,2025-11-01 11:01:19,2025-11-01 12:39:41,0 days 01:38:22,0.008656220264404045,COMPLETE
