number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_peft.beta,state
0,0.7702149152755737,0.044422669720645576,2025-10-31 22:52:50,2025-11-01 00:23:46,0 days 01:30:56,0.0002149308444917364,0.7523134498783028,COMPLETE
1,0.013462145812809467,0.35684447923213325,2025-10-31 23:43:51,2025-11-01 01:03:30,0 days 01:19:39,0.006353039362648054,1.8919612698546193,COMPLETE
2,0.7445011138916016,0.1180933481928919,2025-11-01 00:23:46,2025-11-01 01:54:56,0 days 01:31:10,0.0028216569553039333,0.6354331786506227,COMPLETE
3,0.7599377036094666,0.08958372878888801,2025-11-01 01:03:30,2025-11-01 02:24:01,0 days 01:20:31,0.0022569342609786163,0.4061452016444125,COMPLETE
4,0.7750223875045776,0.03683113885224586,2025-11-01 01:54:56,2025-11-01 03:26:03,0 days 01:31:07,0.000857816470720758,0.12997870825151447,COMPLETE
5,0.7914722561836243,0.031238123051467514,2025-11-01 02:24:01,2025-11-01 03:44:23,0 days 01:20:22,0.0007297585851247732,0.3298729308765982,COMPLETE
6,0.7241926789283752,0.06411601248492964,2025-11-01 03:26:03,2025-11-01 04:57:03,0 days 01:31:00,0.00010705736072066056,1.9648667097968167,COMPLETE
7,0.020897293463349342,0.2060771156990778,2025-11-01 03:44:24,2025-11-01 05:04:32,0 days 01:20:08,0.006348083963744744,1.3118243072387368,COMPLETE
8,0.021132513880729675,0.3445370829394271,2025-11-01 04:57:03,2025-11-01 06:27:57,0 days 01:30:54,0.007386937976375635,1.6402993703719624,COMPLETE
9,0.7438191771507263,0.07342011020528352,2025-11-01 05:04:32,2025-11-01 06:25:14,0 days 01:20:42,0.00011484799607197481,0.4025539177539639,COMPLETE
10,0.7815234065055847,0.043494114971083034,2025-11-01 06:25:14,2025-11-01 07:45:55,0 days 01:20:41,0.00108189659905876,1.834623820307264,COMPLETE
11,0.7962733507156372,0.028902429219708193,2025-11-01 06:27:57,2025-11-01 07:59:09,0 days 01:31:12,0.0005473763648599166,0.0027834384042439986,COMPLETE
12,0.7918817400932312,0.026028482696477555,2025-11-01 07:45:55,2025-11-01 09:06:33,0 days 01:20:38,0.0004661359749871729,0.018065099601827173,COMPLETE
13,0.7726381421089172,0.027151783276145713,2025-11-01 07:59:09,2025-11-01 09:30:27,0 days 01:31:18,0.00043863465267827956,0.06705938441461479,COMPLETE
14,0.7689080238342285,0.02916264064374393,2025-11-01 09:06:33,2025-11-01 10:27:06,0 days 01:20:33,0.0003072492826813455,1.1398990476965851,COMPLETE
