number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.8246329426765442,0.029952369728018506,2025-11-01 09:30:36,2025-11-01 13:05:27,0 days 03:34:51,0.00010016958500038377,COMPLETE
1,0.7307345271110535,0.15907508391211084,2025-11-01 10:27:16,2025-11-01 13:29:15,0 days 03:01:59,0.0015120575056339419,COMPLETE
2,0.8100298643112183,0.046194705845064916,2025-11-01 13:05:27,2025-11-01 16:41:07,0 days 03:35:40,0.00021355671043509712,COMPLETE
3,0.7125877141952515,0.17473966832205312,2025-11-01 13:29:15,2025-11-01 16:31:04,0 days 03:01:49,0.0018286480063598796,COMPLETE
4,0.7732318639755249,0.0922660418867264,2025-11-01 16:31:04,2025-11-01 19:33:29,0 days 03:02:25,0.0005640172212332459,COMPLETE
5,0.7727545499801636,0.09230106365233695,2025-11-01 16:41:07,2025-11-01 20:17:03,0 days 03:35:56,0.0005526830663298277,COMPLETE
6,0.8157176971435547,0.03424167509457257,2025-11-01 19:33:29,2025-11-01 22:36:05,0 days 03:02:36,0.00013696894352266682,COMPLETE
7,0.8133378028869629,0.045449501678912575,2025-11-01 20:17:03,2025-11-01 23:52:44,0 days 03:35:41,0.00021628993156398816,COMPLETE
8,0.6793773770332336,0.19666320048610847,2025-11-01 22:36:05,2025-11-02 01:38:24,0 days 03:02:19,0.002846846338433202,COMPLETE
9,0.6807735562324524,0.19412852164041428,2025-11-01 23:52:44,2025-11-02 03:28:24,0 days 03:35:40,0.0028802448976715162,COMPLETE
10,0.8117879033088684,0.04067572611934955,2025-11-02 01:38:24,2025-11-02 04:39:56,0 days 03:01:32,0.00017602913844575623,COMPLETE
11,0.04179688170552254,0.05495737271648534,2025-11-02 03:28:24,2025-11-02 07:03:52,0 days 03:35:28,0.009865782809496477,COMPLETE
12,0.052856672555208206,0.05874238540840123,2025-11-02 04:39:56,2025-11-02 07:40:57,0 days 03:01:01,0.008331523732735952,COMPLETE
13,0.8217545747756958,0.032733212728714184,2025-11-02 07:03:52,2025-11-02 10:39:53,0 days 03:36:01,0.00011479143184511539,COMPLETE
14,0.8222036361694336,0.030397749438898884,2025-11-02 07:40:57,2025-11-02 10:43:02,0 days 03:02:05,0.00010995119841718156,COMPLETE
