number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.5992367267608643,0.23380932727983197,2025-11-01 11:18:08,2025-11-01 12:50:29,0 days 01:32:21,0.0036909375933878268,COMPLETE
1,0.7347325682640076,0.06474721963399772,2025-11-01 12:10:45,2025-11-01 13:59:11,0 days 01:48:26,0.0006126297094979314,COMPLETE
2,0.6773648262023926,0.14199629396649846,2025-11-01 12:50:29,2025-11-01 14:22:26,0 days 01:31:57,0.001625462978931107,COMPLETE
3,0.6820296049118042,0.1260427025604908,2025-11-01 13:59:11,2025-11-01 15:47:46,0 days 01:48:35,0.0013909986597088198,COMPLETE
4,0.743273913860321,0.038945119818795046,2025-11-01 14:22:26,2025-11-01 15:55:05,0 days 01:32:39,0.0003068307659633044,COMPLETE
5,0.7565686702728271,0.0337881360252346,2025-11-01 15:47:46,2025-11-01 17:36:57,0 days 01:49:11,0.000360466260412684,COMPLETE
6,0.6989554166793823,0.10876078350987058,2025-11-01 15:55:05,2025-11-01 17:27:45,0 days 01:32:40,0.0010550284891319237,COMPLETE
7,0.7539908289909363,0.032439067823526554,2025-11-01 17:27:45,2025-11-01 19:00:25,0 days 01:32:40,0.0002821534614753937,COMPLETE
8,0.7274828553199768,0.07034522301648935,2025-11-01 17:36:57,2025-11-01 19:25:58,0 days 01:49:01,0.0006870092649782946,COMPLETE
9,0.7381297945976257,0.05344165761394305,2025-11-01 19:00:25,2025-11-01 20:32:47,0 days 01:32:22,0.0004502797084499686,COMPLETE
10,0.758484423160553,0.02928502769389165,2025-11-01 19:25:58,2025-11-01 21:14:31,0 days 01:48:33,0.00017807007500997402,COMPLETE
11,0.7456602454185486,0.04386643919804106,2025-11-01 20:32:47,2025-11-01 22:05:14,0 days 01:32:27,0.00010327528041777041,COMPLETE
12,0.7556880712509155,0.04149589516220837,2025-11-01 21:14:31,2025-11-01 23:03:26,0 days 01:48:55,0.00011635129103629395,COMPLETE
13,0.7602323293685913,0.037472621508482726,2025-11-01 22:05:14,2025-11-01 23:37:33,0 days 01:32:19,0.00013102746318213105,COMPLETE
14,0.7541106939315796,0.028829217625625375,2025-11-01 23:03:26,2025-11-02 00:52:02,0 days 01:48:36,0.00021076832205147594,COMPLETE
