number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,state
0,0.800000011920929,0.09744853106637795,2025-11-01 23:37:44,2025-11-02 01:01:58,0 days 01:24:14,0.001149007170606088,COMPLETE
1,0.8454166650772095,0.01275436321894328,2025-11-02 00:52:12,2025-11-02 02:35:41,0 days 01:43:29,0.00012044719452970726,COMPLETE
2,0.6391666531562805,0.07317658762137096,2025-11-02 01:01:58,2025-11-02 02:26:12,0 days 01:24:14,0.00738778515453931,COMPLETE
3,0.7900000214576721,0.1156860379874706,2025-11-02 02:26:12,2025-11-02 03:50:28,0 days 01:24:16,0.0013616795859912178,COMPLETE
4,0.7266666889190674,0.11005599901080132,2025-11-02 02:35:41,2025-11-02 04:19:16,0 days 01:43:35,0.003935494921471097,COMPLETE
5,0.831250011920929,0.025955811611687127,2025-11-02 03:50:28,2025-11-02 05:14:41,0 days 01:24:13,0.0001492244066033838,COMPLETE
6,0.8004166483879089,0.09494026622424526,2025-11-02 04:19:16,2025-11-02 06:02:55,0 days 01:43:39,0.0006953825292503788,COMPLETE
7,0.70333331823349,0.07818808053930604,2025-11-02 05:14:41,2025-11-02 06:38:56,0 days 01:24:15,0.005448592257420954,COMPLETE
8,0.5737500190734863,0.04810219087948402,2025-11-02 06:02:55,2025-11-02 07:46:40,0 days 01:43:45,0.009037473765761151,COMPLETE
9,0.7749999761581421,0.11996314079811177,2025-11-02 06:38:56,2025-11-02 08:03:15,0 days 01:24:19,0.001846656615716976,COMPLETE
10,0.8079166412353516,0.09553311477104826,2025-11-02 07:46:40,2025-11-02 09:30:26,0 days 01:43:46,0.0007762959994834763,COMPLETE
11,0.8395833373069763,0.01848268484075863,2025-11-02 08:03:15,2025-11-02 09:27:35,0 days 01:24:20,0.00013005708144873758,COMPLETE
12,0.8424999713897705,0.01470858201384538,2025-11-02 09:27:35,2025-11-02 10:51:56,0 days 01:24:21,0.00010740821345795623,COMPLETE
13,0.8379166722297668,0.016633310765027953,2025-11-02 09:30:26,2025-11-02 11:14:15,0 days 01:43:49,0.0001131717805178279,COMPLETE
14,0.8262500166893005,0.05280698239803319,2025-11-02 10:51:56,2025-11-02 12:16:19,0 days 01:24:23,0.00032628472725352984,COMPLETE
