number,values_0,values_1,datetime_start,datetime_complete,duration,params_lr,params_rwalk.ewc_alpha,params_rwalk.ewc_lambda,state
0,0.7729032635688782,0.05643089632190453,2025-11-02 10:40:03,2025-11-02 14:17:49,0 days 03:37:46,0.0012215139232457472,0.3699663521167701,0.5680640510625721,COMPLETE
1,0.6000396609306335,0.17396346986674183,2025-11-02 10:43:13,2025-11-02 13:45:49,0 days 03:02:36,0.005596935259167368,0.2513766178872733,0.2625230790757179,COMPLETE
2,0.7328742742538452,0.09969917825357466,2025-11-02 13:45:50,2025-11-02 16:49:47,0 days 03:03:57,0.0018850066219572084,0.748393883534011,0.8234728892677529,COMPLETE
3,0.720554769039154,0.10456113457806897,2025-11-02 14:17:50,2025-11-02 17:56:35,0 days 03:38:45,0.0021636747518969466,0.20854199370597226,0.9069954849944348,COMPLETE
4,0.6677358746528625,0.03768338958258107,2025-11-02 16:49:47,2025-11-02 19:52:49,0 days 03:03:02,0.0001532492674583725,0.11332481994953747,0.7146205820246239,COMPLETE
5,0.607387363910675,0.09492543582308105,2025-11-02 17:56:35,2025-11-02 21:34:26,0 days 03:37:51,0.00018585495699778194,0.14416159769131964,0.029617001759137396,COMPLETE
6,0.7402873635292053,0.09131155394473378,2025-11-02 19:52:50,2025-11-02 22:55:31,0 days 03:02:41,0.0015990738426168646,0.6327613574058227,0.9573799305019673,COMPLETE
7,0.7805079221725464,0.053915848079019967,2025-11-02 21:34:26,2025-11-03 01:12:14,0 days 03:37:48,0.0011740530949145341,0.9760182492745738,0.9588962337410674,COMPLETE
8,0.7413405179977417,0.0903979820250334,2025-11-02 22:55:31,2025-11-03 01:58:06,0 days 03:02:35,0.0016644280416782443,0.7887366139900097,0.9486682901021828,COMPLETE
9,0.7638756632804871,0.06497950082536091,2025-11-03 01:12:14,2025-11-03 04:49:44,0 days 03:37:30,0.001257793412230446,0.5696896597896346,0.564003026815322,COMPLETE
10,0.7283972501754761,0.1066437823014716,2025-11-03 01:58:06,2025-11-03 05:01:07,0 days 03:03:01,0.0024981238347724357,0.730548294655382,0.9035989728908757,COMPLETE
11,0.601913332939148,0.05385622545622089,2025-11-03 04:49:44,2025-11-03 08:27:30,0 days 03:37:46,0.0001050775978111145,0.013265575738177202,0.6909399268014204,COMPLETE
12,0.7338790893554688,0.030261435686353182,2025-11-03 05:01:07,2025-11-03 08:04:09,0 days 03:03:02,0.00023483823249054674,0.9734815254326498,0.687807106008758,COMPLETE
13,0.7268625497817993,0.039979178790915414,2025-11-03 08:04:09,2025-11-03 11:07:07,0 days 03:02:58,0.00034315002271283505,0.9988736220754544,0.3723060604751376,COMPLETE
14,0.7580471038818359,0.037106813296965524,2025-11-03 08:27:30,2025-11-03 12:05:18,0 days 03:37:48,0.00039913689684928106,0.9933120265321824,0.3774781429573406,COMPLETE
